,budget,revenue,runtime,original_language,vote_average,vote_count,main_production_company,main_spoken_language,main_genre,release_month,release_year
198,50000000,61112916,98,en,4.5,138,Walt Disney Pictures,English,Comedy,3,2006
199,14000000,19800000,100,en,4.5,113,Paramount Pictures,English,Comedy,10,1995
200,6000000,32438988,90,en,4.5,816,Greenestreet Films,English,Comedy,1,2013
201,51000000,36911617,101,en,4.5,84,New Line Cinema,English,Comedy,11,1999
202,35000000,19165560,93,en,4.5,161,Metro-Goldwyn-Mayer (MGM),English,Science Fiction,4,1998
203,50000000,49000000,102,en,4.6,109,Warner Bros.,Český,Action,2,1994
204,13000000,1784763,91,en,4.6,248,Lakeshore Entertainment,English,Thriller,7,2015
205,20000000,67192859,89,en,4.6,194,Ghost House Pictures,English,Thriller,2,2005
206,2000000,563706,120,en,4.6,19,Gary Sanchez Productions,English,Comedy,9,2010
207,40000000,49627779,96,en,4.6,148,New Line Cinema,English,Fantasy,8,1996
208,13000000,3752426,95,en,4.6,28,Gladden Entertainment,English,Fantasy,1,1991
209,10000000,5241315,98,en,4.6,20,Bigel / Mailer Films,English,Drama,9,1999
210,1180280,7630000,110,en,4.6,17,Fox Film Corporation,English,Drama,2,1933
211,10500000,14144000,98,en,4.6,127,Metro-Goldwyn-Mayer (MGM),English,Horror,6,1988
212,3000000,1675381,100,en,4.6,59,Anchor Bay Films,English,Horror,9,2013
213,6500000,13865435,89,en,4.6,365,Fox International Productions,English,Horror,12,2014
214,6000000,869325,107,en,4.6,17,Les Films 21,English,Action,6,1991
215,10000000,4711220,105,en,4.6,29,De Laurentiis Entertainment Group (DEG),English,Action,11,1986
216,22000000,84772742,84,en,4.6,310,Revolution Studios,English,Action,6,2001
217,60000000,62357900,97,en,4.6,538,Columbia Pictures,English,Comedy,6,2009
218,16000000,50007546,114,en,4.6,96,New Line Cinema,English,Comedy,9,2008
219,20000000,78378744,86,en,4.6,813,Dimension Films,English,Comedy,4,2013
220,28000000,33000337,99,en,4.6,150,Neo Art & Logic,English,Thriller,12,2000
221,1000000,101758490,83,en,4.6,263,Room 101,English,Thriller,1,2012
222,18000000,266586800,93,en,4.6,218,Grindstone Entertainment Group,English,Thriller,8,2014
223,22000000,22400154,83,en,4.6,232,Columbia Pictures Corporation,Nederlands,Comedy,8,2005
224,22000000,64892670,93,en,4.7,93,Paramount Pictures,English,Drama,7,1983
225,14000000,13015688,123,en,4.7,45,Universal Pictures,English,Action,8,1979
226,60000000,39031337,103,en,4.7,323,DC Comics,English,Action,12,2008
227,15000000,5217498,105,en,4.7,15,Morgan Creek Productions,English,Thriller,7,2000
228,84000000,123307945,106,en,4.7,338,Imagine Entertainment,English,Fantasy,7,2000
229,6000000,1193062,91,en,4.7,27,Universal Pictures,English,Drama,10,1991
230,80000000,78000586,114,en,4.7,189,Morgan Creek Productions,English,Horror,8,2004
231,1100000,631221,86,en,4.7,36,Shooting Gallery,English,Horror,10,1998
232,150000000,318502923,103,en,4.7,1180,Paramount Pictures,English,Action,6,2010
233,38000000,197011982,84,en,4.7,525,Dimension Films,English,Action,7,2003
234,12000000,61141030,93,en,4.7,161,Paramount Pictures,English,Action,2,2002
235,60000000,71073932,101,en,4.7,565,Original Film,English,Action,4,2005
236,150000,15200000,97,en,4.7,19,Yeah,English,Action,4,1971
237,24000000,12372410,107,en,4.7,51,Bel Air Entertainment,English,Action,4,2000
238,20000000,10337477,84,en,4.7,78,New Line Cinema,English,Action,1,2007
239,20000000,2128186,85,en,4.7,150,Grindstone Entertainment Group,English,Action,11,2011
240,60000000,37000000,109,en,4.7,381,Universal Pictures,English,Comedy,11,1994
